Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
5,7,400,0,1800,3800,36200,9.50,40.00,0.3861,0.4372,0.4000
5,8,0,400,2200,4200,35800,10.50,37.50,0.3587,0.3979,0.3750
5,9,0,0,2200,4600,35400,11.50,39.00,0.3786,0.4030,0.3900
5,10,400,0,2200,5000,35000,12.50,38.50,0.3671,0.3815,0.3850
5,11,0,400,2600,5400,34600,13.50,43.50,0.4250,0.4313,0.4350
5,12,400,0,2600,5800,34200,14.50,42.50,0.4081,0.4210,0.4250
5,13,0,400,3000,6200,33800,15.50,43.50,0.4315,0.4540,0.4350
5,14,400,0,3000,6600,33400,16.50,39.50,0.3767,0.3936,0.3950
5,15,0,400,3400,7000,33000,17.50,44.50,0.4342,0.4618,0.4450
5,16,400,0,3400,7400,32600,18.50,40.00,0.3978,0.4165,0.4000
5,17,0,400,3800,7800,32200,19.50,46.00,0.4516,0.4641,0.4600
5,18,400,0,3800,8200,31800,20.50,45.00,0.4439,0.4526,0.4500
5,19,0,400,4200,8600,31400,21.50,46.50,0.4615,0.4898,0.4650
5,20,400,0,4200,9000,31000,22.50,43.50,0.4278,0.4559,0.4350
5,21,0,400,4600,9400,30600,23.50,46.50,0.4631,0.4813,0.4650
5,22,400,0,4600,9800,30200,24.50,47.50,0.4687,0.4886,0.4750
5,23,400,0,4600,10200,29800,25.50,47.00,0.4579,0.4631,0.4700
5,24,0,400,5000,10600,29400,26.50,45.00,0.4502,0.4747,0.4500
